0.5	4.1685E-027	4.1685E-027	4.1685E-027
0.55	8.045E-029	8.045E-029	8.045E-029
0.6	2.359E-029	2.359E-029	2.359E-029
0.65	1.108E-029	1.108E-029	1.108E-029
0.7	6.33E-030	6.33E-030	6.33E-030
0.75	4.098E-030	4.098E-030	4.098E-030
0.8	2.863E-030	2.863E-030	2.863E-030
0.9	1.6125E-030	1.6125E-030	1.6125E-030
1	1.028E-030	1.028E-030	1.028E-030
2	1.8545E-032	3.5145E-032	1.8545E-032
3	4.5605E-033	7.325E-033	4.5605E-033
4	2.762E-033	3.9085E-033	2.762E-033
5	2.2385E-033	2.946E-033	2.2385E-033
6	2.0495E-033	2.5775E-033	2.0495E-033
7	1.9905E-033	2.4265E-033	1.9905E-033
8	1.993E-033	2.3755E-033	1.993E-033
9	2.03E-033	2.379E-033	2.03E-033
10	2.0875E-033	2.4135E-033	2.0875E-033
20	3.016E-033	3.3295E-033	3.016E-033
50	6.32E-033	6.88E-033	6.32E-033
100	1.196E-032	1.2955E-032	1.196E-032
200	2.3275E-032	2.516E-032	2.3275E-032
500	5.725E-032	6.18E-032	5.725E-032
1000	1.139E-031	1.229E-031	1.139E-031
10000	1.1335E-030	1.223E-030	1.1335E-030
