1.9525797407683685, 1.6637825181719985e-11
2.028789176618149, 9.775275890478276e-12
2.32572255754332, 6.93758369407009e-12
2.884015920981864, 5.458337631346494e-12
3.649127642074098, 5.9498852712962305e-12
4.189938381372764, 1.0849885838749296e-11
4.274354164290221, 1.3330918844116227e-11
4.187736354202781, 7.967032272528688e-12
3.307858651757468, 5.275555546629833e-12
2.5645416881035765, 6.04887764760368e-12
2.1508826308013687, 7.957149639072897e-12
1.9901162993914903, 1.2009701978670019e-11
1.9521806064175005, 1.475487170208272e-11
