0.78756,1.18767,0.011282 0.78756,1.18767,131.578
15.4511,19.8049,0.011282 15.4511,19.8049,131.578
-12.56,2.35034,0.011282 -12.56,2.35034,131.578
0.201192,0.391051,0.011282 0.201192,0.391051,131.578
-22.6491,9.20614,0.011282 -22.6491,9.20614,131.578
-15.3326,-14.5173,0.011282 -15.3326,-14.5173,131.578
-11.5601,14.3386,0.011282 -11.5601,14.3386,131.578
10.4596,-17.9157,0.011282 10.4596,-17.9157,131.578
18.4383,-1.08855,0.011282 18.4383,-1.08855,131.578
-15.0424,-7.43196,0.011282 -15.0424,-7.43196,131.578
19.7777,14.58,0.011282 19.7777,14.58,131.578
-3.49017,6.28425,0.011282 -3.49017,6.28425,131.578
-2.33865,-2.34488,0.011282 -2.33865,-2.34488,131.578
4.79193,-18.8121,0.011282 4.79193,-18.8121,131.578
-3.47947,14.6009,0.011282 -3.47947,14.6009,131.578
6.30836,-6.1811,0.011282 6.30836,-6.1811,131.578
14.2358,-5.67056,0.011282 14.2358,-5.67056,131.578
5.51001,20.485,0.011282 5.51001,20.485,131.578
17.5327,-12.3523,0.011282 17.5327,-12.3523,131.578
-1.68684,16.9794,0.011282 -1.68684,16.9794,131.578
1.27928,-1.6317,0.011282 1.27928,-1.6317,131.578
15.0102,-4.81726,0.011282 15.0102,-4.81726,131.578
1.68683,-0.31929,0.011282 1.68683,-0.31929,131.578
20.3112,1.63824,-9.12612 163.969,12.8793,131.578
-0.158141,-3.55651,0.011282 -0.158141,-3.55651,131.578
-10.2508,-5.41165,0.011282 -10.2508,-5.41165,131.578
6.12052,1.89071,0.011282 6.12052,1.89071,131.578
-10.8433,-20.602,0.011282 -10.8433,-20.602,131.578
-7.50275,-15.7753,0.011282 -7.50275,-15.7753,131.578
-8.3077,-0.421283,0.011282 -8.3077,-0.421283,131.578
7.85714,0.933133,0.011282 7.85714,0.933133,131.578
-1.31346,-14.6119,0.011282 -1.31346,-14.6119,131.578
9.83678,-18.9208,0.011282 9.83678,-18.9208,131.578
-8.291,-6.81337,0.011282 -8.291,-6.81337,131.578
9.04635,18.4315,0.011282 9.04635,18.4315,131.578
-4.50929,-5.7199,0.011282 -4.50929,-5.7199,131.578
3.62695,-10.1827,0.011282 3.62695,-10.1827,131.578
-14.5856,-10.8194,0.011282 -14.5856,-10.8194,131.578
-12.5465,18.4881,0.011282 -12.5465,18.4881,131.578
20.5259,3.10984,0.011282 20.5259,3.10984,131.578
