"Photon energy, eV","n"
0.1850510260195518,1.1596494139777
0.19157012891393652,1.1973256716307
0.1983112402960648,1.2280888354422
0.20530582452906063,1.2537289561387
0.2125564673977365,1.2753723963511
0.2200251773435665,1.2937460280032
0.2277864917014509,1.3096384003386
0.2358010411432098,1.3234105439689
0.24411141451683346,1.3354823573874
0.2527195014942921,1.3461171232165
0.26162521087381246,1.3555262189157
0.2708260974947569,1.36388143366
0.2803803424538664,1.3713701305288
0.29029311035612204,1.3780997735118
0.3004948798669406,1.3841208059058
0.3110491405747609,1.3895553417944
0.32203685047558367,1.3945035722002
0.3333804448322122,1.3989819997456
0.3451675596689858,1.4030708962299
0.35730313381296747,1.4067782146466
0.36988122742571516,1.4101696832452
0.38290360541414364,1.4132741569442
0.3963688856556896,1.416117293379
0.41040777038430887,1.4187459519934
0.42489440518539995,1.4211544161909
0.439816202316778,1.4233613684394
0.4553220250940129,1.4254044329951
0.4714227659053221,1.427296093753
0.48793462193270254,1.4290287283802
0.5052330376246932,1.4306516985468
0.5229193902703488,1.4321372109342
0.5414156656467236,1.433529881253
0.5605071764606677,1.4348196176837
0.5801786964581175,1.4360139618555
0.6006985825247079,1.4371349603433
0.6217862960536595,1.4381729429417
0.6437392909299051,1.43914806608
0.6662234682058018,1.4400509385522
0.6899509595609333,1.4409133669095
0.7141946280708509,1.4417121733672
0.739321332338102,1.4424645759259
0.765334490327776,1.4431739285381
0.792231229604471,1.4438434020915
0.8200012396369029,1.4444759883488
0.849206763240409,1.4450861470109
0.8793204782489342,1.445664578157
0.9103097462048436,1.4462138519129
0.9421290838381436,1.4467363524093
0.9754853456577476,1.4472455774929
1.0096432201392485,1.4477322458328
1.0453978704308577,1.4482096590065
1.0818864522958092,1.448668310738
1.1200016931625991,1.4491214616538
1.1598146626108485,1.4495710901504
1.2002341474646634,1.4500069615101
1.2428246534993956,1.450447735732
1.2866769140006196,1.4508853971281
1.3320174842404353,1.4513240787777
1.3788277072186357,1.4517653834747
1.4274025723359396,1.4522138205731
1.4777614711930835,1.4526712743322
1.5299134678319313,1.4531396102638
1.5836529241678339,1.4536188536247
1.6395687309322893,1.4541161650842
1.69725102577823,1.4546298754538
1.757145513507649,1.4551660299221
1.8190168344058057,1.4557246986958
1.8831134178781852,1.4563104080175
1.949436909325467,1.4569256013294
2.018300300066738,1.4575758068817
2.089386373998984,1.4582607881284
2.163017924513254,1.4589865613939
2.239194282700013,1.4597562854765
2.317894698693208,1.4605730794883
2.399539141341198,1.4614449911601
2.4841552280725248,1.4623764385944
2.5717524877224585,1.4633719346282
2.662318819692929,1.4644360310913
2.756429244844369,1.465580829975
2.8534910801633995,1.4668048202486
2.9541145445103574,1.4681218218832
3.0575631919383404,1.4695286500209
3.1652843357952443,1.4710525123802
3.2774038443854008,1.4727046797948
3.3921802307277624,1.4744682820342
3.5122999272832782,1.4763951298847
3.6358999247243315,1.4784676522483
3.7639401163661113,1.4807144415912
3.8964232379981056,1.4831504333467
4.033317743432001,1.4857914366574
4.175957811825521,1.488683281387
4.323019087625513,1.4918215034661
4.475963445238256,1.495262719426
4.633190860728689,1.498999218542
4.796293517721459,1.5031009629039
4.965325888390057,1.5076095872199
5.1403062783208835,1.5125721155558
5.321209761077241,1.5180417677275
5.507960347983106,1.5240789072975
5.703044500142581,1.530846431063
5.904008925385701,1.5383576204905
